"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Bosnia and Herzegovina","BIH","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1986977108.34503","2088869123.39924","2246587544.0923","2256436938.09415","2239345969.16485","2852423433.69081","3624808468.54304","4226573145.69265","5253755990.13231","5379477185.28077","6412421680.07941","5328379102.19463","5691102088.28783","6646029863.21964","6139805758.44437","6719878400.85267","6956407524.93916","6159702551.90448","6536500503.40689","7603275693.07941",
"Belarus","BLR","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2155100000","2761900000","5271000000","6772200000","7868700000","7124200000","6420500000","7073500000","7860200000","8649600000","11007800000","15134500000","17704700000","21815900000","27148500000","36877500000","24817700000","29805000000","47242100000","52802700000","44904700000","44203300000","33405600000","30588300000","37301200000",
"Belize","BLZ","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","129900000","131150000","144600000","164700000","201850000","219950000","255150000","257100000","289900000","288400000","280490000","300176500","315445000","338690000","333810000","404286920.865","430609975.64625","433958032.78435","483393435.656394","521232221.576876","532400145.562825","621781575.872826","786064530.283886","823317708.673485","872493092.4388","732767580.282032","834170906.42726","948530342.390358","1039521955.13461","1062177961.83546","1091434215.44131","1040919494.94431","975774627.331241","1045922678.01187",
"Bermuda","BMU","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3538220000","4062408522.20724","3796859890.46665","3128974785.02173","3150596255.82453","3149722594.87365","3120840151.71226","3728541596.59196","3225101912.07337","3253041844.85562","3413705487.79916","",
"Bolivia","BOL","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","636200000","700700000","706000000","873400000","1045700000","1021600000","918400000","899000000","848000000","737400000","684200000","666400000","689000000","890700000","995500000","941900000","790700000","906100000","1199800000","1262100000","1341530000","1512040000","1482600000","1467900000","1609734096.03","1641878269.97172","1658552119.06189","2032285035.63242","2637965186.20425","3400621025.11789","4584798041.71298","5324570734.85986","7369497131.15274","5662610000","6918664527.02533","9259640783.46915","12399420637.2437","12923354978.0695","14106136425.2284","10038518414.6954","8382640135.86548","9292043010.42037",
"Brazil","BRA","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","9939000000","11283000000","13510000000","14489000000","17998000000","23275000000","26923000000","23469000000","24341000000","30205000000","29309000000","25131000000","28730000000","36823000000","38817000000","36327000000","35842000000","40999000000","44903000000","51212000000","56098000000","57856000000","64522000000","63681000000","58499000000","67337461040.9693","69796737823.9496","72238303875.7244","85908677703.5733","111183684804.627","136199513279.014","162741317580.377","196096026149.551","240903787817.109","189564364100","249756542036.55","315431485453.72","289877421233.52","291717674155.21","276912412195.905","235800275429.23","229280727040.17","263696512054.19",
"Barbados","BRB","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","101649999.949175","110741121.55437","125228967.68961","149345106.591635","189798428.395124","220916033.050524","210600000","260900000","331400000","444050000","594000000","569150000","640450000","701600000","825150000","821850000","786550000","718300000","807400000","923050000","902900000","862100000","859012785","928827527.2","1055159597","1122708604.2","1230526183.4","1263382741.265","1305117965.5","1315044440.68","1378670763","1348535145.15","1304967660.65","1432798670.11667","1513918069.89461","1934955872.03516","2224582784.31742","2424419312.62","2490593868.6195","2260613996.235","2303888875.2034","2601520539.6454","2305719015.0942","2582362359.3683","","","","",
"Brunei Darussalam","BRN","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4370084980.10786","4370316126.70814","5074003660.51107","5849355900.53256","7120262753.00205","8619419397.80665","8773233349.9634","11868545475.124","8403066964.23237","10198638550.2017","13837820971.338","14338783603.4076","13324521260.2528","12679477493.9848","7869854054.56226","6723974176.31162","",
"Bhutan","BTN","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","381915532.056848","663135422.111435","688334873.782716","595343456.579325","606876814.677449","762221392.115894","746446088.736621","685401498.133039","678569468.512538","733192176.82423","666703945.525035","744458812.9493",
"Botswana","BWA","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","219876006.548653","275885069.288535","311297572.422864","332787141.004408","575578114.586683","747531282.122334","604370542.687823","645455259.657068","835972654.513996","877559613.335903","888799341.357569","1069050494.26925","1883508898.71541","1799366997.75099","2174912308.92735","2421060316.88301","2564113133.93803","2475251513.82289","2468021006.36587","2291214985.36772","2903751764.53895","2882203118.74849","3652093489.1242","2938198434.40893","3419153672.0396","3377988466.58813","3032384373.4085","3105159354.82027","4092097263.3304","4696605275.49233","5731272433.1624","5826176051.01517","6535177430.07296","5917577106.10365","4474769785.92936","5601147152.78092","7602855302.33991","7576714174.73063","9056574153.70715","9743302907.3598","7456918639.21853","8416626008.34896","7145429961.44102",
